Timestamp,Bid,Ask,High,Low
1603173363259,2.56,2.58,2.61,2.55
1603173363260,2.56,2.58,2.61,2.55
1603173364261,2.557,2.579,2.609,2.551
1603173364267,2.557,2.579,2.609,2.551
1603173669566,2.55,2.57,2.61,2.55
1603173669573,2.55,2.57,2.61,2.55
1603173670578,2.553,2.574,2.609,2.551
1603173670586,2.553,2.574,2.609,2.551
1603173671593,2.553,2.575,2.609,2.551
1603173671594,2.553,2.575,2.609,2.551
1603190945641,2.55,2.57,2.61,2.54
1603190945648,2.55,2.57,2.61,2.54
1603191363658,2.55,2.57,2.61,2.54
1603191363660,2.55,2.57,2.61,2.54
1603191698594,2.56,2.58,2.61,2.54
1603191698663,2.56,2.58,2.61,2.54
1603191885692,2.56,2.58,2.61,2.54
1603191885693,2.56,2.58,2.61,2.54
1603191934548,2.56,2.58,2.61,2.54
1603191934561,2.56,2.58,2.61,2.54
1603191980044,2.55,2.58,2.61,2.54
1603191980046,2.55,2.58,2.61,2.54
1603191987253,2.554,2.576,2.609,2.539
1603191987270,2.554,2.576,2.609,2.539
1603191994895,2.555,2.576,2.609,2.539
1603191995685,2.555,2.576,2.609,2.539
1603192001807,2.555,2.576,2.609,2.539
1603192003909,2.555,2.576,2.609,2.539
1603192007332,2.554,2.576,2.609,2.539
1603192010550,2.554,2.576,2.609,2.539
1603192012911,2.554,2.576,2.609,2.539
1603192015882,2.554,2.575,2.609,2.539
1603192021672,2.554,2.575,2.609,2.539
1603192022255,2.554,2.575,2.609,2.539
1603192037050,2.55,2.58,2.61,2.54
1603192038811,2.55,2.58,2.61,2.54
1603192044436,2.553,2.575,2.609,2.539
1603192046933,2.552,2.574,2.609,2.539
1603192047968,2.553,2.574,2.609,2.539
1603192050886,2.552,2.574,2.609,2.539
1603192051812,2.553,2.575,2.609,2.539
1603192059082,2.553,2.575,2.609,2.539
1603192059542,2.553,2.575,2.609,2.539
1603192080421,2.55,2.57,2.61,2.54
1603192080988,2.55,2.57,2.61,2.54
1603192116711,2.56,2.58,2.61,2.54
1603192116967,2.56,2.58,2.61,2.54
1603192120382,2.56,2.58,2.61,2.54
1603192120648,2.56,2.58,2.61,2.54
1603192123009,2.56,2.58,2.61,2.54
1603192123452,2.56,2.58,2.61,2.54
1603192125377,2.56,2.58,2.61,2.54
1603192126138,2.56,2.58,2.61,2.54
1603192128391,2.56,2.58,2.61,2.54
1603192128521,2.56,2.58,2.61,2.54
1603192134087,2.56,2.58,2.61,2.54
1603192134231,2.56,2.58,2.61,2.54
1603192138971,2.56,2.58,2.61,2.54
1603192139001,2.56,2.58,2.61,2.54
1603192143823,2.56,2.58,2.61,2.54
1603192144703,2.56,2.58,2.61,2.54
1603192148329,2.56,2.58,2.61,2.54
1603192148582,2.56,2.58,2.61,2.54
1603192153884,2.56,2.58,2.61,2.54
1603192154414,2.56,2.58,2.61,2.54
1603192158498,2.56,2.58,2.61,2.54
1603192158547,2.56,2.58,2.61,2.54
1603193238804,2.54,2.56,2.61,2.53
1603193238828,2.54,2.56,2.61,2.53
1603193239816,2.54,2.56,2.61,2.53
1603193239832,2.54,2.56,2.61,2.53
1603193240830,2.536,2.557,2.609,2.534
1603193240849,2.536,2.557,2.609,2.534
1603193241835,2.533,2.554,2.609,2.533
1603193241854,2.533,2.554,2.609,2.533
1603193242842,2.534,2.556,2.609,2.533
1603193242861,2.534,2.556,2.609,2.533
1603193971255,2.52,2.54,2.61,2.5
1603194175320,2.52,2.54,2.61,2.5
1603195501486,2.52,2.54,2.61,2.5
1603195502066,2.52,2.54,2.61,2.5
1603195733851,2.52,2.54,2.61,2.5
1603195811209,2.52,2.55,2.61,2.5
1603195811700,2.52,2.55,2.61,2.5
1603195814403,2.524,2.547,2.609,2.504
1603195815660,2.524,2.547,2.609,2.504
1603196251407,2.53,2.55,2.61,2.5
1603196251426,2.53,2.55,2.61,2.5
1603196253851,2.53,2.55,2.61,2.5
1603196253940,2.53,2.55,2.61,2.5
1603196256177,2.53,2.55,2.61,2.5
1603196256341,2.53,2.55,2.61,2.5
