Timestamp,Bid,Ask,High,Low
1603173362143,6.357,6.396,6.419,6.323
1603173362188,6.357,6.396,6.419,6.323
1603173363299,6.357,6.396,6.419,6.323
1603173363519,6.357,6.396,6.419,6.323
1603173364302,6.357,6.396,6.419,6.323
1603173668726,6.36,6.399,6.419,6.323
1603173668826,6.36,6.399,6.419,6.323
1603173669736,6.36,6.399,6.419,6.323
1603173669850,6.36,6.399,6.419,6.323
1603173670750,6.36,6.399,6.419,6.323
1603173670857,6.36,6.399,6.419,6.323
1603173671757,6.36,6.399,6.419,6.323
1603174238490,6.348,6.386,6.419,6.323
1603174238581,6.348,6.386,6.419,6.323
1603174239492,6.348,6.386,6.419,6.323
1603188295781,6.375,6.413,6.426,6.323
1603188296012,6.375,6.413,6.426,6.323
1603188296785,6.375,6.413,6.426,6.323
1603188297014,6.375,6.413,6.426,6.323
1603190045359,6.385,6.423,6.431,6.323
1603190045738,6.385,6.423,6.431,6.323
1603190046362,6.385,6.423,6.431,6.323
1603190046751,6.385,6.423,6.431,6.323
1603190945245,6.383,6.421,6.431,6.323
1603190945466,6.383,6.421,6.431,6.323
1603191363476,6.383,6.42,6.431,6.323
1603191363517,6.383,6.42,6.431,6.323
1603191698110,6.382,6.419,6.431,6.323
1603191698122,6.382,6.419,6.431,6.323
1603191885640,6.382,6.419,6.431,6.323
1603191885654,6.382,6.419,6.431,6.323
1603191934560,6.382,6.419,6.431,6.323
1603191934617,6.382,6.419,6.431,6.323
1603191979542,6.382,6.42,6.431,6.323
1603191979897,6.382,6.42,6.431,6.323
1603191986830,6.382,6.42,6.431,6.323
1603191987307,6.382,6.42,6.431,6.323
1603191995623,6.382,6.419,6.431,6.323
1603191995884,6.382,6.419,6.431,6.323
1603192004147,6.382,6.4199,6.431,6.323
1603192004307,6.382,6.4199,6.431,6.323
1603192011937,6.382,6.42,6.431,6.323
1603192011944,6.382,6.42,6.431,6.323
1603192020897,6.382,6.42,6.431,6.323
1603192022185,6.382,6.42,6.431,6.323
1603192034572,6.383,6.42,6.431,6.323
1603192036614,6.383,6.42,6.431,6.323
1603192040009,6.383,6.42,6.431,6.323
1603192043704,6.383,6.42,6.431,6.323
1603192044603,6.383,6.42,6.431,6.323
1603192047091,6.383,6.42,6.431,6.323
1603192050555,6.383,6.42,6.431,6.323
1603192050926,6.383,6.42,6.431,6.323
1603192059308,6.383,6.42,6.431,6.323
1603192059732,6.383,6.42,6.431,6.323
1603192079857,6.382,6.42,6.431,6.323
1603192079857,6.382,6.42,6.431,6.323
1603192116652,6.382,6.419,6.431,6.323
1603192116773,6.382,6.419,6.431,6.323
1603192119604,6.382,6.419,6.431,6.323
1603192119682,6.382,6.419,6.431,6.323
1603192122019,6.382,6.419,6.431,6.323
1603192122144,6.382,6.419,6.431,6.323
1603192124509,6.382,6.419,6.431,6.323
1603192124547,6.382,6.419,6.431,6.323
1603192127199,6.382,6.419,6.431,6.323
1603192127380,6.382,6.419,6.431,6.323
1603192129473,6.382,6.419,6.431,6.323
1603192129748,6.382,6.419,6.431,6.323
1603192133450,6.382,6.419,6.431,6.323
1603192134216,6.382,6.419,6.431,6.323
1603192138443,6.382,6.419,6.431,6.323
1603192138965,6.382,6.419,6.431,6.323
1603192143758,6.382,6.419,6.431,6.323
1603192144373,6.382,6.419,6.431,6.323
1603192147599,6.382,6.419,6.431,6.323
1603192149018,6.382,6.419,6.431,6.323
1603192149867,6.382,6.419,6.431,6.323
1603192154590,6.382,6.419,6.431,6.323
1603192154993,6.382,6.419,6.431,6.323
1603192158529,6.382,6.419,6.431,6.323
1603192158559,6.382,6.419,6.431,6.323
1603192760013,6.382,6.42,6.431,6.323
1603192760019,6.382,6.42,6.431,6.323
1603192935657,6.381,6.419,6.431,6.323
1603192935697,6.381,6.419,6.431,6.323
1603193150284,6.38,6.417,6.431,6.323
1603193150307,6.38,6.417,6.431,6.323
1603193197123,6.379,6.416,6.431,6.323
1603193197193,6.379,6.416,6.431,6.323
1603193198132,6.379,6.416,6.431,6.323
1603193198194,6.379,6.416,6.431,6.323
1603193199133,6.379,6.416,6.431,6.323
1603193199195,6.379,6.416,6.431,6.323
1603193200134,6.379,6.416,6.431,6.323
1603193238107,6.378,6.415,6.431,6.323
1603193238149,6.378,6.415,6.431,6.323
1603193239121,6.378,6.415,6.431,6.323
1603193239164,6.378,6.415,6.431,6.323
1603193240143,6.378,6.415,6.431,6.323
1603193240184,6.378,6.415,6.431,6.323
1603193241178,6.378,6.415,6.431,6.323
1603193241194,6.378,6.415,6.431,6.323
1603193242205,6.378,6.415,6.431,6.323
1603193242206,6.378,6.415,6.431,6.323
1603193243212,6.378,6.415,6.431,6.323
1603193243218,6.378,6.415,6.431,6.323
1603193270829,6.377,6.414,6.431,6.323
1603193271153,6.377,6.414,6.431,6.323
1603193347376,6.376,6.413,6.431,6.323
1603193347443,6.376,6.413,6.431,6.323
1603193400252,6.377,6.415,6.431,6.323
1603193400260,6.377,6.415,6.431,6.323
